pincode,area,district,state,region_type,fdh_id,mst_id,olt_id,serviceable,max_speed_available_mbps
110001,New Delhi,New Delhi,Delhi,urban,FDH-00000,MST-00000,OLT-00000,True,50
110002,New Delhi,Central,Delhi,urban,FDH-00001,MST-00001,OLT-00001,True,200
110003,New Delhi,New Delhi,Delhi,urban,FDH-00002,MST-00002,OLT-00002,True,1000
110004,New Delhi,New Delhi,Delhi,urban,FDH-00003,MST-00003,OLT-00003,True,100
110005,New Delhi,Central,Delhi,urban,FDH-00004,MST-00004,OLT-00004,True,50
110006,Na,North,Delhi,rural,FDH-00005,MST-00005,OLT-00005,False,50
110007,Delhi,North,Delhi,urban,FDH-00006,MST-00006,OLT-00006,True,500
110008,New Delhi,West,Delhi,urban,FDH-00007,MST-00007,OLT-00007,True,200
110009,Na,North,Delhi,rural,FDH-00008,MST-00008,OLT-00008,False,50
110010,Na,New Delhi,Delhi,urban,FDH-00009,MST-00009,OLT-00009,True,1000
110011,New Delhi,New Delhi,Delhi,urban,FDH-00010,MST-00010,OLT-00010,True,200
110012,New Delhi,West,Delhi,urban,FDH-00011,MST-00011,OLT-00011,False,200
110013,New Delhi,South East,Delhi,urban,FDH-00012,MST-00012,OLT-00012,True,100
110014,New Delhi,South East,Delhi,urban,FDH-00013,MST-00013,OLT-00013,True,500
110015,New Delhi,West,Delhi,urban,FDH-00014,MST-00014,OLT-00014,True,1000
110016,Na,South,Delhi,rural,FDH-00015,MST-00015,OLT-00015,False,100
110017,Na,South,Delhi,rural,FDH-00016,MST-00016,OLT-00016,False,100
110018,New Delhi,West,Delhi,urban,FDH-00017,MST-00017,OLT-00017,True,500
110019,New Delhi,South,Delhi,urban,FDH-00018,MST-00018,OLT-00018,True,50
110020,New Delhi,South,Delhi,urban,FDH-00019,MST-00019,OLT-00019,True,200
110021,Na,New Delhi,Delhi,urban,FDH-00020,MST-00020,OLT-00020,True,200
110022,Na,New Delhi,Delhi,urban,FDH-00021,MST-00021,OLT-00021,True,200
110023,Na,New Delhi,Delhi,urban,FDH-00022,MST-00022,OLT-00022,True,500
110024,New Delhi,South East,Delhi,urban,FDH-00023,MST-00023,OLT-00023,True,200
110025,Na,South East,Delhi,rural,FDH-00024,MST-00024,OLT-00024,False,100
110026,New Delhi,West,Delhi,urban,FDH-00025,MST-00025,OLT-00025,True,200
110027,New Delhi,West,Delhi,urban,FDH-00026,MST-00026,OLT-00026,True,200
110028,New Delhi,New Delhi,Delhi,urban,FDH-00027,MST-00027,OLT-00027,True,1000
110029,Na,South,Delhi,suburban,FDH-00028,MST-00028,OLT-00028,True,200
110030,Na,South,Delhi,suburban,FDH-00029,MST-00029,OLT-00029,False,100
110031,Na,Shahdara,Delhi,rural,FDH-00030,MST-00030,OLT-00030,False,50
110032,Na,Shahdara,Delhi,rural,FDH-00031,MST-00031,OLT-00031,False,500
110033,Delhi,North,Delhi,urban,FDH-00032,MST-00032,OLT-00032,True,1000
110034,Delhi,North West,Delhi,urban,FDH-00033,MST-00033,OLT-00033,True,1000
110035,Delhi,North West,Delhi,urban,FDH-00034,MST-00034,OLT-00034,True,200
110036,Delhi,North,Delhi,urban,FDH-00035,MST-00035,OLT-00035,True,500
110037,Na,New Delhi,Delhi,urban,FDH-00036,MST-00036,OLT-00036,True,500
110038,Na,New Delhi,Delhi,urban,FDH-00037,MST-00037,OLT-00037,True,500
110039,Delhi,North,Delhi,urban,FDH-00038,MST-00038,OLT-00038,True,1000
110040,Delhi,North,Delhi,urban,FDH-00039,MST-00039,OLT-00039,True,100
110041,New Delhi,West,Delhi,urban,FDH-00040,MST-00040,OLT-00040,True,100
110042,Delhi,North,Delhi,urban,FDH-00041,MST-00041,OLT-00041,True,1000
110043,New Delhi,West,Delhi,urban,FDH-00042,MST-00042,OLT-00042,True,100
110044,New Delhi,South,Delhi,urban,FDH-00043,MST-00043,OLT-00043,True,1000
110045,New Delhi,South West,Delhi,urban,FDH-00044,MST-00044,OLT-00044,True,1000
110046,New Delhi,New Delhi,Delhi,urban,FDH-00045,MST-00045,OLT-00045,True,50
110047,Na,South,Delhi,suburban,FDH-00046,MST-00046,OLT-00046,True,200
110048,New Delhi,South,Delhi,urban,FDH-00047,MST-00047,OLT-00047,True,500
110049,New Delhi,South East,Delhi,urban,FDH-00048,MST-00048,OLT-00048,True,500
110051,Na,East,Delhi,rural,FDH-00049,MST-00049,OLT-00049,False,500
