slot_id,date,time_window,fdh_id,available
SLOT-FDH-000-0-09:00-12:00,2026-08-05,09:00-12:00,FDH-000,True
SLOT-FDH-000-0-13:00-16:00,2026-08-05,13:00-16:00,FDH-000,True
SLOT-FDH-000-0-16:00-19:00,2026-08-05,16:00-19:00,FDH-000,False
SLOT-FDH-000-1-09:00-12:00,2026-08-06,09:00-12:00,FDH-000,True
SLOT-FDH-000-1-13:00-16:00,2026-08-06,13:00-16:00,FDH-000,True
SLOT-FDH-000-1-16:00-19:00,2026-08-06,16:00-19:00,FDH-000,True
SLOT-FDH-000-2-09:00-12:00,2026-08-07,09:00-12:00,FDH-000,True
SLOT-FDH-000-2-13:00-16:00,2026-08-07,13:00-16:00,FDH-000,True
SLOT-FDH-000-2-16:00-19:00,2026-08-07,16:00-19:00,FDH-000,True
SLOT-FDH-000-3-09:00-12:00,2026-08-08,09:00-12:00,FDH-000,True
SLOT-FDH-000-3-13:00-16:00,2026-08-08,13:00-16:00,FDH-000,True
SLOT-FDH-000-3-16:00-19:00,2026-08-08,16:00-19:00,FDH-000,True
SLOT-FDH-000-4-09:00-12:00,2026-08-09,09:00-12:00,FDH-000,True
SLOT-FDH-000-4-13:00-16:00,2026-08-09,13:00-16:00,FDH-000,True
SLOT-FDH-000-4-16:00-19:00,2026-08-09,16:00-19:00,FDH-000,True
SLOT-FDH-000-5-09:00-12:00,2026-08-10,09:00-12:00,FDH-000,False
SLOT-FDH-000-5-13:00-16:00,2026-08-10,13:00-16:00,FDH-000,False
SLOT-FDH-000-5-16:00-19:00,2026-08-10,16:00-19:00,FDH-000,False
SLOT-FDH-000-6-09:00-12:00,2026-08-11,09:00-12:00,FDH-000,True
SLOT-FDH-000-6-13:00-16:00,2026-08-11,13:00-16:00,FDH-000,True
SLOT-FDH-000-6-16:00-19:00,2026-08-11,16:00-19:00,FDH-000,True
SLOT-FDH-000-7-09:00-12:00,2026-08-12,09:00-12:00,FDH-000,True
SLOT-FDH-000-7-13:00-16:00,2026-08-12,13:00-16:00,FDH-000,True
SLOT-FDH-000-7-16:00-19:00,2026-08-12,16:00-19:00,FDH-000,True
SLOT-FDH-000-8-09:00-12:00,2026-08-13,09:00-12:00,FDH-000,True
SLOT-FDH-000-8-13:00-16:00,2026-08-13,13:00-16:00,FDH-000,True
SLOT-FDH-000-8-16:00-19:00,2026-08-13,16:00-19:00,FDH-000,False
SLOT-FDH-000-9-09:00-12:00,2026-08-14,09:00-12:00,FDH-000,True
SLOT-FDH-000-9-13:00-16:00,2026-08-14,13:00-16:00,FDH-000,True
SLOT-FDH-000-9-16:00-19:00,2026-08-14,16:00-19:00,FDH-000,True
SLOT-FDH-000-10-09:00-12:00,2026-08-15,09:00-12:00,FDH-000,True
SLOT-FDH-000-10-13:00-16:00,2026-08-15,13:00-16:00,FDH-000,False
SLOT-FDH-000-10-16:00-19:00,2026-08-15,16:00-19:00,FDH-000,True
SLOT-FDH-000-11-09:00-12:00,2026-08-16,09:00-12:00,FDH-000,True
SLOT-FDH-000-11-13:00-16:00,2026-08-16,13:00-16:00,FDH-000,True
SLOT-FDH-000-11-16:00-19:00,2026-08-16,16:00-19:00,FDH-000,False
SLOT-FDH-000-12-09:00-12:00,2026-08-17,09:00-12:00,FDH-000,False
SLOT-FDH-000-12-13:00-16:00,2026-08-17,13:00-16:00,FDH-000,True
SLOT-FDH-000-12-16:00-19:00,2026-08-17,16:00-19:00,FDH-000,True
SLOT-FDH-000-13-09:00-12:00,2026-08-18,09:00-12:00,FDH-000,True
SLOT-FDH-000-13-13:00-16:00,2026-08-18,13:00-16:00,FDH-000,True
SLOT-FDH-000-13-16:00-19:00,2026-08-18,16:00-19:00,FDH-000,True
SLOT-FDH-001-0-09:00-12:00,2026-08-05,09:00-12:00,FDH-001,True
SLOT-FDH-001-0-13:00-16:00,2026-08-05,13:00-16:00,FDH-001,True
SLOT-FDH-001-0-16:00-19:00,2026-08-05,16:00-19:00,FDH-001,True
SLOT-FDH-001-1-09:00-12:00,2026-08-06,09:00-12:00,FDH-001,True
SLOT-FDH-001-1-13:00-16:00,2026-08-06,13:00-16:00,FDH-001,True
SLOT-FDH-001-1-16:00-19:00,2026-08-06,16:00-19:00,FDH-001,True
SLOT-FDH-001-2-09:00-12:00,2026-08-07,09:00-12:00,FDH-001,True
SLOT-FDH-001-2-13:00-16:00,2026-08-07,13:00-16:00,FDH-001,True
SLOT-FDH-001-2-16:00-19:00,2026-08-07,16:00-19:00,FDH-001,True
SLOT-FDH-001-3-09:00-12:00,2026-08-08,09:00-12:00,FDH-001,True
SLOT-FDH-001-3-13:00-16:00,2026-08-08,13:00-16:00,FDH-001,False
SLOT-FDH-001-3-16:00-19:00,2026-08-08,16:00-19:00,FDH-001,True
SLOT-FDH-001-4-09:00-12:00,2026-08-09,09:00-12:00,FDH-001,True
SLOT-FDH-001-4-13:00-16:00,2026-08-09,13:00-16:00,FDH-001,True
SLOT-FDH-001-4-16:00-19:00,2026-08-09,16:00-19:00,FDH-001,True
SLOT-FDH-001-5-09:00-12:00,2026-08-10,09:00-12:00,FDH-001,True
SLOT-FDH-001-5-13:00-16:00,2026-08-10,13:00-16:00,FDH-001,True
SLOT-FDH-001-5-16:00-19:00,2026-08-10,16:00-19:00,FDH-001,True
SLOT-FDH-001-6-09:00-12:00,2026-08-11,09:00-12:00,FDH-001,True
SLOT-FDH-001-6-13:00-16:00,2026-08-11,13:00-16:00,FDH-001,True
SLOT-FDH-001-6-16:00-19:00,2026-08-11,16:00-19:00,FDH-001,False
SLOT-FDH-001-7-09:00-12:00,2026-08-12,09:00-12:00,FDH-001,True
SLOT-FDH-001-7-13:00-16:00,2026-08-12,13:00-16:00,FDH-001,True
SLOT-FDH-001-7-16:00-19:00,2026-08-12,16:00-19:00,FDH-001,True
SLOT-FDH-001-8-09:00-12:00,2026-08-13,09:00-12:00,FDH-001,False
SLOT-FDH-001-8-13:00-16:00,2026-08-13,13:00-16:00,FDH-001,True
SLOT-FDH-001-8-16:00-19:00,2026-08-13,16:00-19:00,FDH-001,True
SLOT-FDH-001-9-09:00-12:00,2026-08-14,09:00-12:00,FDH-001,True
SLOT-FDH-001-9-13:00-16:00,2026-08-14,13:00-16:00,FDH-001,False
SLOT-FDH-001-9-16:00-19:00,2026-08-14,16:00-19:00,FDH-001,False
SLOT-FDH-001-10-09:00-12:00,2026-08-15,09:00-12:00,FDH-001,True
SLOT-FDH-001-10-13:00-16:00,2026-08-15,13:00-16:00,FDH-001,True
SLOT-FDH-001-10-16:00-19:00,2026-08-15,16:00-19:00,FDH-001,True
SLOT-FDH-001-11-09:00-12:00,2026-08-16,09:00-12:00,FDH-001,True
SLOT-FDH-001-11-13:00-16:00,2026-08-16,13:00-16:00,FDH-001,False
SLOT-FDH-001-11-16:00-19:00,2026-08-16,16:00-19:00,FDH-001,True
SLOT-FDH-001-12-09:00-12:00,2026-08-17,09:00-12:00,FDH-001,False
SLOT-FDH-001-12-13:00-16:00,2026-08-17,13:00-16:00,FDH-001,True
SLOT-FDH-001-12-16:00-19:00,2026-08-17,16:00-19:00,FDH-001,True
SLOT-FDH-001-13-09:00-12:00,2026-08-18,09:00-12:00,FDH-001,True
SLOT-FDH-001-13-13:00-16:00,2026-08-18,13:00-16:00,FDH-001,True
SLOT-FDH-001-13-16:00-19:00,2026-08-18,16:00-19:00,FDH-001,True
SLOT-FDH-002-0-09:00-12:00,2026-08-05,09:00-12:00,FDH-002,True
SLOT-FDH-002-0-13:00-16:00,2026-08-05,13:00-16:00,FDH-002,True
SLOT-FDH-002-0-16:00-19:00,2026-08-05,16:00-19:00,FDH-002,True
SLOT-FDH-002-1-09:00-12:00,2026-08-06,09:00-12:00,FDH-002,True
SLOT-FDH-002-1-13:00-16:00,2026-08-06,13:00-16:00,FDH-002,True
SLOT-FDH-002-1-16:00-19:00,2026-08-06,16:00-19:00,FDH-002,False
SLOT-FDH-002-2-09:00-12:00,2026-08-07,09:00-12:00,FDH-002,True
SLOT-FDH-002-2-13:00-16:00,2026-08-07,13:00-16:00,FDH-002,True
SLOT-FDH-002-2-16:00-19:00,2026-08-07,16:00-19:00,FDH-002,True
SLOT-FDH-002-3-09:00-12:00,2026-08-08,09:00-12:00,FDH-002,True
SLOT-FDH-002-3-13:00-16:00,2026-08-08,13:00-16:00,FDH-002,True
SLOT-FDH-002-3-16:00-19:00,2026-08-08,16:00-19:00,FDH-002,True
SLOT-FDH-002-4-09:00-12:00,2026-08-09,09:00-12:00,FDH-002,True
SLOT-FDH-002-4-13:00-16:00,2026-08-09,13:00-16:00,FDH-002,True
SLOT-FDH-002-4-16:00-19:00,2026-08-09,16:00-19:00,FDH-002,True
SLOT-FDH-002-5-09:00-12:00,2026-08-10,09:00-12:00,FDH-002,True
SLOT-FDH-002-5-13:00-16:00,2026-08-10,13:00-16:00,FDH-002,True
SLOT-FDH-002-5-16:00-19:00,2026-08-10,16:00-19:00,FDH-002,False
SLOT-FDH-002-6-09:00-12:00,2026-08-11,09:00-12:00,FDH-002,True
SLOT-FDH-002-6-13:00-16:00,2026-08-11,13:00-16:00,FDH-002,True
SLOT-FDH-002-6-16:00-19:00,2026-08-11,16:00-19:00,FDH-002,True
SLOT-FDH-002-7-09:00-12:00,2026-08-12,09:00-12:00,FDH-002,True
SLOT-FDH-002-7-13:00-16:00,2026-08-12,13:00-16:00,FDH-002,True
SLOT-FDH-002-7-16:00-19:00,2026-08-12,16:00-19:00,FDH-002,True
SLOT-FDH-002-8-09:00-12:00,2026-08-13,09:00-12:00,FDH-002,True
SLOT-FDH-002-8-13:00-16:00,2026-08-13,13:00-16:00,FDH-002,True
SLOT-FDH-002-8-16:00-19:00,2026-08-13,16:00-19:00,FDH-002,True
SLOT-FDH-002-9-09:00-12:00,2026-08-14,09:00-12:00,FDH-002,True
SLOT-FDH-002-9-13:00-16:00,2026-08-14,13:00-16:00,FDH-002,False
SLOT-FDH-002-9-16:00-19:00,2026-08-14,16:00-19:00,FDH-002,True
SLOT-FDH-002-10-09:00-12:00,2026-08-15,09:00-12:00,FDH-002,True
SLOT-FDH-002-10-13:00-16:00,2026-08-15,13:00-16:00,FDH-002,False
SLOT-FDH-002-10-16:00-19:00,2026-08-15,16:00-19:00,FDH-002,True
SLOT-FDH-002-11-09:00-12:00,2026-08-16,09:00-12:00,FDH-002,True
SLOT-FDH-002-11-13:00-16:00,2026-08-16,13:00-16:00,FDH-002,True
SLOT-FDH-002-11-16:00-19:00,2026-08-16,16:00-19:00,FDH-002,True
SLOT-FDH-002-12-09:00-12:00,2026-08-17,09:00-12:00,FDH-002,True
SLOT-FDH-002-12-13:00-16:00,2026-08-17,13:00-16:00,FDH-002,True
SLOT-FDH-002-12-16:00-19:00,2026-08-17,16:00-19:00,FDH-002,True
SLOT-FDH-002-13-09:00-12:00,2026-08-18,09:00-12:00,FDH-002,True
SLOT-FDH-002-13-13:00-16:00,2026-08-18,13:00-16:00,FDH-002,True
SLOT-FDH-002-13-16:00-19:00,2026-08-18,16:00-19:00,FDH-002,True
SLOT-FDH-003-0-09:00-12:00,2026-08-05,09:00-12:00,FDH-003,True
SLOT-FDH-003-0-13:00-16:00,2026-08-05,13:00-16:00,FDH-003,True
SLOT-FDH-003-0-16:00-19:00,2026-08-05,16:00-19:00,FDH-003,True
SLOT-FDH-003-1-09:00-12:00,2026-08-06,09:00-12:00,FDH-003,True
SLOT-FDH-003-1-13:00-16:00,2026-08-06,13:00-16:00,FDH-003,True
SLOT-FDH-003-1-16:00-19:00,2026-08-06,16:00-19:00,FDH-003,True
SLOT-FDH-003-2-09:00-12:00,2026-08-07,09:00-12:00,FDH-003,True
SLOT-FDH-003-2-13:00-16:00,2026-08-07,13:00-16:00,FDH-003,True
SLOT-FDH-003-2-16:00-19:00,2026-08-07,16:00-19:00,FDH-003,True
SLOT-FDH-003-3-09:00-12:00,2026-08-08,09:00-12:00,FDH-003,True
SLOT-FDH-003-3-13:00-16:00,2026-08-08,13:00-16:00,FDH-003,True
SLOT-FDH-003-3-16:00-19:00,2026-08-08,16:00-19:00,FDH-003,False
SLOT-FDH-003-4-09:00-12:00,2026-08-09,09:00-12:00,FDH-003,False
SLOT-FDH-003-4-13:00-16:00,2026-08-09,13:00-16:00,FDH-003,False
SLOT-FDH-003-4-16:00-19:00,2026-08-09,16:00-19:00,FDH-003,False
SLOT-FDH-003-5-09:00-12:00,2026-08-10,09:00-12:00,FDH-003,False
SLOT-FDH-003-5-13:00-16:00,2026-08-10,13:00-16:00,FDH-003,True
SLOT-FDH-003-5-16:00-19:00,2026-08-10,16:00-19:00,FDH-003,False
SLOT-FDH-003-6-09:00-12:00,2026-08-11,09:00-12:00,FDH-003,True
SLOT-FDH-003-6-13:00-16:00,2026-08-11,13:00-16:00,FDH-003,True
SLOT-FDH-003-6-16:00-19:00,2026-08-11,16:00-19:00,FDH-003,True
SLOT-FDH-003-7-09:00-12:00,2026-08-12,09:00-12:00,FDH-003,True
SLOT-FDH-003-7-13:00-16:00,2026-08-12,13:00-16:00,FDH-003,True
SLOT-FDH-003-7-16:00-19:00,2026-08-12,16:00-19:00,FDH-003,True
SLOT-FDH-003-8-09:00-12:00,2026-08-13,09:00-12:00,FDH-003,False
SLOT-FDH-003-8-13:00-16:00,2026-08-13,13:00-16:00,FDH-003,False
SLOT-FDH-003-8-16:00-19:00,2026-08-13,16:00-19:00,FDH-003,True
SLOT-FDH-003-9-09:00-12:00,2026-08-14,09:00-12:00,FDH-003,True
SLOT-FDH-003-9-13:00-16:00,2026-08-14,13:00-16:00,FDH-003,False
SLOT-FDH-003-9-16:00-19:00,2026-08-14,16:00-19:00,FDH-003,True
SLOT-FDH-003-10-09:00-12:00,2026-08-15,09:00-12:00,FDH-003,True
SLOT-FDH-003-10-13:00-16:00,2026-08-15,13:00-16:00,FDH-003,True
SLOT-FDH-003-10-16:00-19:00,2026-08-15,16:00-19:00,FDH-003,False
SLOT-FDH-003-11-09:00-12:00,2026-08-16,09:00-12:00,FDH-003,False
SLOT-FDH-003-11-13:00-16:00,2026-08-16,13:00-16:00,FDH-003,True
